order_id,customer_id,order_date,status,region_code
1,265,2025-01-07 12:11:44,SHIPPED,EAST
2,31,2024-03-07 15:07:22,CANCELLED,EAST
3,131,2025-06-04 03:25:52,PLACED,CENTRAL
4,310,2025-06-29 14:25:37,DELIVERED,CENTRAL
5,494,2025-01-28 02:21:13,DELIVERED,WEST
6,351,2025-07-11 22:15:11,PLACED,CENTRAL
7,118,2025-08-29 19:29:20,CANCELLED,SOUTH
8,416,2024-03-12 19:06:43,DELIVERED,WEST
9,63,2024-04-02 06:52:08,RETURNED,NORTH
10,153,2025-04-08 17:18:24,DELIVERED,SOUTH
11,325,2024-11-02 18:50:58,RETURNED,WEST
12,353,2024-04-01 18:00:39,DELIVERED,SOUTH
13,64,2025-01-13 17:03:00,CANCELLED,EAST
14,289,2024-02-01 07:27:44,DELIVERED,WEST
15,446,2025-07-12 06:42:11,SHIPPED,WEST
16,369,2025-03-03 04:18:55,PLACED,NORTH
17,148,2025-05-13 00:00:00,DELIVERED,WEST
18,436,2025-09-30 05:29:32,CANCELLED,WEST
19,191,2025-03-10 19:00:36,DELIVERED,CENTRAL
20,376,2024-02-04 01:36:30,PLACED,WEST
21,82,2024-05-25 23:46:33,RETURNED,EAST
22,81,2025-06-19 19:05:15,DELIVERED,NORTH
23,320,2025-09-19 01:57:21,PLACED,WEST
24,481,2025-08-10 23:21:26,RETURNED,EAST
25,37,2025-12-12 19:47:19,DELIVERED,NORTH
26,174,2025-08-09 01:42:18,DELIVERED,EAST
27,130,2025-06-01 02:54:50,PLACED,EAST
28,264,2024-01-15 23:07:38,DELIVERED,SOUTH
29,379,2024-06-28 08:50:44,SHIPPED,CENTRAL
30,352,2024-03-27 04:38:59,CANCELLED,WEST
31,244,2025-11-07 14:46:40,DELIVERED,EAST
32,271,2024-04-28 01:10:29,SHIPPED,CENTRAL
33,400,2025-04-30 08:09:33,PLACED,WEST
34,324,2025-06-26 21:02:06,DELIVERED,WEST
35,280,2024-12-09 00:00:00,DELIVERED,WEST
36,248,2025-11-19 18:49:12,DELIVERED,SOUTH
37,11,2025-11-19 00:00:00,PLACED,NORTH
38,360,2024-08-12 23:18:16,PLACED,NORTH
39,223,2025-09-05 20:07:45,PLACED,CENTRAL
40,190,2024-04-23 22:11:16,DELIVERED,NORTH
41,284,2025-03-13 22:57:42,SHIPPED,SOUTH
42,284,2024-03-04 12:24:21,SHIPPED,EAST
43,72,2025-05-18 06:39:25,DELIVERED,SOUTH
44,442,2024-08-11 19:41:06,DELIVERED,NORTH
45,,2024-03-13 18:46:16,PLACED,WEST
46,1,2024-02-08 21:24:17,SHIPPED,WEST
47,528,2025-12-25 15:30:27,DELIVERED,NORTH
48,4,2025-01-28 22:52:49,DELIVERED,EAST
49,311,2025-02-14 00:00:00,DELIVERED,EAST
50,471,2024-10-23 20:12:11,RETURNED,SOUTH
51,400,2024-04-19 20:44:22,CANCELLED,WEST
52,144,2024-02-06 06:01:46,SHIPPED,WEST
53,316,2025-05-26 17:53:51,RETURNED,NORTH
54,346,2024-02-13 12:07:13,DELIVERED,WEST
55,550,2024-06-01 23:37:14,PLACED,SOUTH
56,20,2025-04-27 19:02:15,PLACED,SOUTH
57,315,2024-04-09 14:39:10,PLACED,NORTH
58,226,2024-03-05 06:27:21,RETURNED,WEST
59,141,2024-11-25 06:48:02,SHIPPED,NORTH
60,426,2024-06-21 22:23:35,SHIPPED,CENTRAL
61,,2024-04-12 20:39:24,PLACED,WEST
62,8,2024-07-02 02:45:41,SHIPPED,WEST
63,212,2024-05-26 20:17:33,SHIPPED,SOUTH
64,39,2025-09-02 05:45:31,PLACED,EAST
65,5,2025-07-25 07:12:07,RETURNED,CENTRAL
66,520,2024-08-12 14:49:40,SHIPPED,SOUTH
67,153,2025-12-02 15:31:11,RETURNED,NORTH
68,292,2024-08-02 13:16:21,CANCELLED,WEST
69,,2024-02-23 17:11:10,DELIVERED,NORTH
70,241,2025-03-31 18:37:20,DELIVERED,EAST
71,113,2024-11-29 07:06:15,CANCELLED,WEST
72,76,2025-04-27 18:31:03,PLACED,CENTRAL
73,397,2025-01-17 04:29:46,DELIVERED,EAST
74,131,2024-02-02 22:36:03,PLACED,WEST
75,176,2024-12-17 07:56:18,DELIVERED,CENTRAL
76,236,2024-03-29 13:54:33,RETURNED,CENTRAL
77,474,2024-10-12 00:46:27,SHIPPED,EAST
78,228,2025-08-28 04:58:36,DELIVERED,NORTH
79,,2025-04-26 00:00:00,DELIVERED,WEST
80,101,2025-04-08 15:15:05,PLACED,WEST
81,136,2025-01-02 09:15:41,PLACED,EAST
82,471,2025-08-07 23:37:01,DELIVERED,SOUTH
83,416,2024-07-08 11:40:29,PLACED,NORTH
