item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,266,4,6151.22,10
2,2,51,2,1478.51,50
3,2,451,2,404.16,30
4,2,63,5,4471.92,5
5,2,46,3,227.33,15
6,3,80,3,4104.81,0
7,3,74,2,4605.89,20
8,4,344,3,2679.67,15
9,4,32,4,3060.25,10
10,4,27,2,2397.89,0
11,4,353,1,6483.47,30
12,5,391,4,357.54,0
13,5,516,1,7673.14,5
14,6,53,5,6796.0,30
15,6,325,5,4243.14,25
16,6,337,3,4644.43,5
17,6,467,2,7822.05,5
18,7,371,1,3615.56,20
19,7,496,1,4094.58,15
20,7,129,5,6311.8,5
21,8,267,4,5360.63,50
22,8,432,3,1031.92,20
23,9,185,5,7063.39,5
24,9,482,-4,1054.23,10
25,10,171,2,6687.48,0
26,11,433,2,4281.55,20
27,12,122,2,4499.83,10
28,12,111,3,7197.0,50
29,12,419,1,7373.72,25
30,13,188,4,3869.14,0
31,13,156,5,7499.31,0
32,13,389,1,3022.0,25
33,13,287,3,4118.47,50
34,14,437,2,2794.83,50
35,15,43,3,6082.67,0
36,15,322,2,2298.22,50
37,15,281,1,1408.18,10
38,16,109,4,1437.63,10
39,16,173,2,1213.92,5
40,16,200,1,413.99,30
41,16,209,1,6596.95,15
42,17,465,5,3614.11,0
43,17,456,3,5758.38,0
44,17,286,4,786.22,0
45,18,77,3,5979.79,5
46,19,76,2,2281.25,30
47,19,326,3,403.02,0
48,19,9,2,5322.93,0
49,20,201,2,6989.71,5
50,20,509,3,3927.61,0
51,21,220,2,7019.33,30
52,21,214,1,3976.46,50
53,21,390,2,5535.06,50
54,22,308,3,5289.83,0
55,22,402,2,5377.01,25
56,23,295,5,862.61,0
57,23,119,4,2670.64,20
58,23,356,2,2619.36,0
59,24,422,2,3921.54,25
60,24,419,-2,2216.6,5
61,24,422,1,2653.22,15
62,24,56,4,3459.07,10
63,25,316,4,2784.75,0
64,25,212,4,4622.8,0
65,25,133,1,4945.1,15
66,26,362,1,813.0,15
67,27,161,1,2960.57,5
68,28,340,2,1375.09,15
69,28,37,4,5893.34,0
70,28,408,1,4259.79,30
71,28,236,4,2336.41,0
72,29,411,1,1076.78,20
73,29,79,2,7025.31,0
74,30,21,5,6122.85,20
75,31,401,5,1299.6,50
76,32,24,5,6299.7,20
77,32,483,3,1701.07,10
78,33,286,3,1855.8,20
79,33,251,4,5652.75,30
80,33,382,-4,4026.58,20
81,33,26,5,3672.94,50
82,34,319,2,3866.77,0
83,34,98,3,5076.32,0
84,34,256,5,6932.14,25
85,34,239,1,4970.26,25
86,35,155,4,2560.49,15
87,36,275,3,4829.97,0
88,37,242,5,4410.15,15
89,37,84,3,3915.67,30
90,38,166,4,3067.92,0
91,39,40,2,6971.02,0
92,40,144,4,6444.91,25
93,40,446,5,173.14,0
94,40,331,3,7053.79,10
95,40,145,5,4554.1,0
96,41,258,5,6442.23,15
97,41,169,4,7496.0,0
98,41,427,5,3843.58,15
99,42,320,2,7947.15,0
100,42,339,2,841.4,25
101,43,359,1,4796.19,0
102,44,292,3,7430.25,10
103,44,413,4,2515.43,50
104,45,157,5,5309.0,0
105,45,105,1,2311.89,10
106,45,339,2,4739.8,20
107,46,3,5,3839.91,0
108,46,151,2,821.57,50
109,46,80,2,7009.45,15
110,47,335,2,3573.54,25
111,48,387,5,2002.11,20
112,48,325,4,2904.43,30
113,48,171,5,4882.51,5
114,49,257,2,4527.84,25
115,49,183,1,3539.77,15
116,49,435,1,6857.44,15
117,50,392,5,7983.41,5
118,50,201,3,6006.27,0
119,51,337,3,144.35,10
120,51,14,1,7334.88,30
121,51,408,5,5213.02,25
122,51,59,1,5663.69,10
123,52,178,4,5094.7,25
124,53,157,5,401.73,0
125,53,123,2,1140.02,20
126,53,100,1,5713.67,15
127,53,18,5,6835.35,50
128,54,376,3,1436.79,50
129,54,63,-5,5349.51,20
